Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8
601,2375,16653,65241,65535,18332,1581,893
795,1038,614,485,900,9478,36888,37871
11123,38699,38332,10773,1461,1290,1090,1175
668,1997,17453,65535,65535,18036,1326,1147
1014,1437,3887,12496,25301,25344,13412,4467
745,1416,280,399,1650,11087,44524,44690
656,1642,876,5038,28978,65535,65535,28994
917,1576,4208,15364,28889,30810,15032,4740
777,807,488,796,666,4166,18521,35822
1079,1386,485,316,1400,8956,36740,36487
823,1646,11565,42821,43513,11554,1485,1081
776,1710,548,443,1479,9331,34995,35549
482,808,1099,4641,26369,64332,63780,26678
12498,45167,44233,12332,1703,1504,197,925
695,857,829,807,750,1170,199,1097
619,1084,405,111,763,1373,535,1035
1162,1310,661,425,1337,8752,33140,33291
1599,7210,24477,24132,6486,1658,473,910
812,1990,5049,16850,33210,33833,16889,4994
961,1946,14411,53914,54458,15127,1502,1323
1171,1302,12856,48618,49408,14358,1794,678
1013,9566,35073,35228,9518,1567,748,1331
930,1013,865,4837,29380,65535,65535,29186
847,1570,513,656,1498,10945,42934,43812
41258,41155,15525,2845,684,1490,974,1135
9938,35120,34054,9565,1567,1725,608,1132
754,1790,10646,39665,40305,12030,1670,370
1167,8420,28540,28412,8007,1621,210,783
13410,48435,47247,13388,1284,1181,605,1328
723,1018,959,452,789,1318,745,703
1124,1067,912,3158,16994,43009,55284,47476
13900,48438,47214,13318,2166,4257,15962,31742
822,1822,4440,14941,29188,30623,15324,4381
1453,10531,37736,37219,10209,1710,644,723
14379,50589,50443,13558,1548,930,475,434
929,998,893,412,779,3028,13555,24970
785,816,379,318,776,4338,17567,34112
653,1340,908,634,1679,9813,41713,41973
12792,47177,46184,12984,2287,7668,28706,28962
655,1461,14387,55370,56060,16307,1693,980
916,970,562,483,783,1222,207,949
1142,2156,14069,54926,55724,15339,1396,1053
747,795,554,561,1093,10623,43487,43844
16251,59279,59269,16173,1685,1548,812,637
12601,44866,43688,12189,1607,1741,850,999
1000,2138,12416,47260,47861,13087,1509,330
935,774,575,383,1443,1580,450,1627
11607,40943,40243,11183,1747,1122,152,1495
722,1562,4224,13763,27282,27916,13822,3672
1025,8724,31196,31520,8931,2108,1043,703
50401,50373,19061,3140,1008,1306,703,1006
1028,8534,30060,40208,36422,31397,15229,4801
856,2096,13995,53587,54663,14615,1728,1165
654,2496,16843,65535,65535,26335,40487,40191
801,518,634,4317,21983,51949,51347,21375
9677,34076,33571,9123,1353,1791,744,783
909,882,416,520,713,1168,830,1327
13080,45621,45119,12202,1796,1354,628,1111
36290,37488,13748,2452,769,1823,265,212
1651,7614,27450,30512,29229,55283,53273,22847
795,844,580,328,1234,5006,19056,36970
450,1346,644,322,850,1459,581,1045
56630,57197,20890,3129,532,1595,606,935
1117,1637,10439,39401,39527,11932,1175,713
1178,10121,38161,38223,10455,1735,874,1291
37171,36098,13943,2457,1018,1373,489,999
15372,61463,65535,48849,10675,1552,437,999
11263,40365,40110,11106,1752,1549,456,1038
1009,1715,4576,16705,33069,32649,16670,5514
637,1211,824,4799,25986,64036,62008,26322
15642,55187,54796,15324,1564,1852,856,292
601,586,534,724,882,4754,15583,31445
680,1674,5735,20739,39852,40614,20610,5970
537,708,762,3639,19926,48676,47742,19972
1030,1513,4822,15217,30561,30615,15454,5168
1742,8107,29834,29515,8464,10663,44275,44243
595,1328,424,451,1372,5750,21584,42461
1011,1504,476,361,963,4500,18955,37963
340,1488,11231,42832,43268,12668,1347,1077
1239,11649,41305,40770,11269,1637,570,857
692,1538,528,668,1782,9984,40011,40100
995,1428,1009,518,866,1749,789,634
41658,42024,15547,2693,1236,1283,737,551
509,1059,507,3939,23660,57159,56798,24174
827,1234,780,3814,22829,54785,52983,22617
673,2240,16352,60189,61519,16581,1493,1285
1127,7627,28835,42232,41222,37530,18509,4943
1139,1025,722,599,1235,4341,17615,33538
782,1137,405,3744,19986,48562,47498,19429
42818,43534,15935,2765,912,349,495,1329
1044,993,741,601,921,1033,583,1114
973,2676,14031,54709,55321,14857,1414,1750
1024,1600,1092,3977,20667,52051,50516,20849
457,477,756,494,600,1820,440,1038
924,1805,5161,17898,35675,35966,18495,5699
845,2280,15274,60619,65535,59012,44587,18747
15318,54015,53302,14298,1769,1255,844,1370
915,2084,14330,55082,55600,15941,1883,996
943,1616,435,567,879,4965,16974,32133
1043,1112,358,523,1084,1795,239,1133
786,1707,548,325,1505,7978,33750,33228
567,1104,725,471,492,1463,565,916
945,960,568,3005,16841,40742,39123,16847
781,2162,5436,19169,37737,38117,19685,6414
934,1297,540,790,907,1198,688,710
892,1062,478,501,653,1268,1026,1164
1142,11608,41377,41149,11156,1684,497,1514
16181,57677,57271,15793,1320,1092,935,972
51914,52057,19176,2753,999,1484,716,742
646,1965,4276,14279,28165,29182,14573,4762
622,1426,617,333,953,3814,16821,33467
1674,10075,35986,35435,10066,2662,756,1381
581,2087,13558,51031,51777,14274,1487,632
1002,7443,26038,25964,7107,2148,920,824
406,2194,14110,54745,55399,14941,1766,401
54373,54282,20231,3313,858,1163,993,1604
1358,8510,30334,30273,8403,1709,708,1151
609,762,992,5270,29050,65535,65535,28129
1093,1209,1006,660,936,840,603,372
560,2179,4683,16590,32132,32550,16049,4774
968,1013,297,594,763,1315,611,697
992,2310,17527,65535,65535,18451,2183,847
685,1728,4558,15504,30633,30605,16312,4685
1599,10294,36794,37610,9854,1919,630,1286
1066,1474,532,314,927,4809,18354,35887
1131,1273,4856,18965,53636,65535,65535,29822
1159,1206,740,418,861,4808,17572,34718
1120,1840,15552,58840,59725,16731,1372,1188
622,974,342,432,1432,6609,26836,27107
15159,54516,53317,14762,1713,1393,328,1127
1406,10552,35012,35638,9316,2377,647,957
586,1145,505,377,1081,719,845,461
760,762,40,241,1135,4715,21109,40484
1439,1718,11696,45581,46038,12290,1506,1576
13473,47492,46521,13014,2293,1608,513,969
1237,9618,34137,34348,9149,2714,700,823
1861,9292,31563,31313,8623,1995,844,1242
577,762,561,324,1168,6837,26075,26461
1025,8750,27760,27349,7516,1378,807,887
1194,7270,22932,22891,7048,8900,36257,36726
726,2245,5831,19487,38482,38550,19522,6163
1026,2206,4281,15232,30614,30008,15204,4680
50613,51128,18700,3092,793,1273,765,1186
1475,8185,31058,31463,8865,4276,13364,26323
57497,57860,21198,3299,1008,1931,644,1140
13313,46266,46455,12552,1696,1084,624,649
568,1151,895,3977,21041,50498,50368,21629
815,1683,4092,14533,28258,28748,14472,4811
361,1589,15968,60864,61680,16404,1408,458
60042,60340,22233,3678,591,1740,342,811
642,1453,1136,5010,29275,65535,65535,28728
54418,54960,20588,2919,792,1433,506,1083
940,1151,378,2961,16944,41013,39658,16977
857,1154,432,498,660,2186,1013,1372
1904,6926,23018,23229,6738,1301,436,1219
681,697,1038,4240,25633,60878,60080,25423
885,1448,10189,38672,39044,13912,15432,30030
810,2147,5859,19647,38909,39417,20017,6225
631,2128,11445,43011,42663,11996,1128,1455
1066,1229,0,666,1184,4168,15954,30817
13945,47380,47157,12797,1563,1238,921,662
52837,53797,19847,3300,1333,1600,656,448
553,2264,17698,65535,65535,65535,65535,29186
839,1630,11626,44017,44718,12414,1330,1183
731,2275,14707,54816,55553,15492,1745,1124
16413,59182,58456,16224,2238,626,595,800
350,757,525,492,840,1713,761,874
736,1381,962,5052,28160,65535,65535,27883
1074,1612,767,378,881,1280,745,1169
880,1235,1383,4161,21600,52673,52099,21886
954,2075,5012,17606,34324,34907,17498,6033
926,2107,5687,19101,38301,38737,19922,6007
1094,2060,13168,49948,50868,13694,672,967
1454,7460,24546,24457,6827,1973,1108,822
740,733,419,462,1060,5569,22607,43528
61920,62561,22911,3569,1002,5238,17312,34832
712,850,713,357,1410,9775,38621,38614
55228,56160,20963,3060,1029,1582,402,1255
627,1510,1082,4331,25703,62120,62064,25617
736,927,442,638,1755,10858,45624,44889
864,1474,496,4337,22882,56345,56037,23485
966,1498,256,383,1177,1228,643,810
741,2585,13639,52297,52573,14235,1565,1472
53136,53173,20157,7355,26706,64961,63726,26326
15973,59462,58035,16124,2059,1562,971,787
59867,65509,45855,26461,7104,1407,892,1428
876,1109,840,484,1519,10229,43976,44284
1228,10206,44122,65535,59929,15058,1635,1651
13424,49470,49043,17478,25378,59717,59318,24508
459,1481,1180,5173,28288,65535,65535,28240
9763,34147,32940,8824,1588,1056,617,994
714,1476,5644,18154,35773,36509,18513,6218
11500,41805,41115,11670,1850,1464,699,942
1063,11795,41136,40908,11318,1977,804,908
1103,1292,928,4996,27170,65535,65535,27449
40124,40442,15176,2415,1236,1116,800,980
1050,963,228,291,1546,7988,29993,29692
576,2379,16092,60935,61342,16722,1618,1441
608,2086,17380,65535,65535,18586,1719,812
724,1637,4326,14253,28233,28501,14423,4931
542,646,477,381,665,888,532,1043
839,1322,491,748,1409,9700,38208,38576
49031,49573,18117,2973,971,1997,851,1158
947,1601,4214,14969,28800,29504,15136,4335
1117,642,789,405,1133,3984,17853,35068
1168,1103,371,876,1261,7257,27060,27733
866,2168,13387,49627,49114,14252,1731,1150
1096,1150,755,302,473,1734,298,555
9661,35295,34845,9754,1659,1742,780,887
859,925,641,528,1092,3877,14947,29498
995,1430,3523,11608,22949,23345,11937,4017
642,1481,375,436,1037,4772,17992,36679
1433,10316,37805,36794,10034,1565,777,1014
738,1893,638,660,1586,8180,32461,33138
1350,9469,33213,32655,9133,1990,1017,800
1654,10603,38986,38590,10531,1284,633,1494
590,1683,3896,12562,24751,24577,12632,3968
808,2066,437,3248,17728,43643,43727,17818
1010,1561,684,4888,25529,62121,61619,25676
1110,7912,25817,25427,6895,1963,1030,867
1029,1406,639,488,1313,4424,15646,30047
1102,1914,11448,43740,44297,12119,1412,671
1301,7977,27202,26969,7518,1414,772,987
741,1399,645,245,1349,1748,130,1076
962,1280,382,607,1060,1501,847,816
859,1689,4207,15618,30902,30438,15974,5058
13111,54363,65535,42304,9545,1986,924,1040
1030,913,169,547,955,1757,864,831
1084,929,981,403,1030,1100,589,1229
849,1304,766,388,624,5552,21703,41898
1101,2192,14698,55933,56435,15276,1564,1313
806,1375,618,781,285,1102,504,480
1209,7969,29040,44348,46805,41078,20733,6120
626,1271,663,3747,19651,47936,46393,19336
45138,45416,17224,2593,1129,1638,1064,1331
766,1102,485,396,1648,8009,29773,30450
864,1438,352,3359,20782,51454,61507,47503
793,258,668,517,1289,1690,760,985
1118,8513,28724,28393,8092,2037,822,1539
748,1281,692,208,1273,1318,448,813
1450,8597,31557,30642,8452,1882,1088,865
746,1003,361,639,1419,4306,16209,31731
578,1094,716,1009,878,4297,16663,33157
971,2574,16331,63013,62895,16384,1849,877
918,1139,1129,4328,23526,56577,55099,22447
817,1467,903,4094,24599,65535,65535,61827
1296,988,636,438,759,1461,737,681
9577,34492,33806,9675,1931,1476,528,1286
830,1441,482,829,856,10267,40878,40901
964,1152,262,651,1538,8597,35845,36133
1031,1178,983,3781,18611,49776,61070,50639
1394,8840,34022,33713,9805,11053,43244,43856
744,1827,745,425,1773,10892,43010,44031
857,1325,510,414,1173,3783,13750,27222
11522,40720,40157,11567,1524,1264,222,863
487,1638,11733,43900,43792,12221,1168,939
1418,8511,26768,26546,7410,2011,809,956
991,2062,14918,58868,59473,16709,1543,700
862,1967,3956,13957,27359,27817,13966,4505
573,1638,3969,11941,23871,24667,12793,4150
14339,52898,52031,14417,2339,1777,500,496
1002,1460,552,483,634,5000,21308,41706
752,1881,5262,19179,38058,38493,19915,6185
887,1756,9520,36893,38128,10361,923,1332
1237,1335,3731,17210,53286,65535,65535,32849
694,1303,424,167,1348,8209,32211,32399
10752,38496,38307,10736,2233,1845,1055,1201
16550,59344,58719,19356,22068,51942,50515,21332
917,894,745,400,1184,4617,20936,41316
1069,8328,28736,29184,7890,1606,503,1201
1017,1725,278,606,1054,9253,35778,35216
50067,50569,18898,3016,1364,1231,922,1077
1307,9270,31509,31967,8987,1964,556,723
9875,35137,33882,9334,1926,930,436,1079
1209,1177,557,566,765,1142,909,967
1565,8951,30191,29546,7959,2252,1052,802
15948,56565,55760,15262,2160,1324,494,1075
930,1156,784,288,1622,1206,594,1310
1624,10826,39947,39955,11010,2272,1009,1200
765,1758,4233,14231,28710,28000,14439,4207
933,1513,4601,15380,31314,31668,15797,4928
1065,1073,197,521,1663,4899,19913,38390
47730,48488,17981,2897,1122,2008,375,993
610,1978,4410,15155,29924,30648,15293,5183
520,9972,33384,36923,34883,65535,65340,26891
1061,1359,283,361,1676,1299,640,1640
61409,62108,23020,3496,806,1148,504,882
1171,1418,861,3923,21706,52425,52172,22007
941,937,752,517,797,1194,1111,977
950,967,483,225,1305,5274,20210,39098
826,1170,4698,17316,34493,34122,17196,5771
851,641,609,281,1019,4308,19009,37220
1127,1379,622,266,863,1184,867,1188
910,1746,14973,57511,57751,16536,1194,854
725,795,4167,13555,25905,26802,13742,4618
51205,51661,19313,3045,1294,1098,797,1198
749,1863,4892,16930,33437,34298,17397,5048
947,1710,737,3083,17061,40993,41064,17149
63308,63112,22996,3779,939,692,776,954
1240,1552,4417,15003,29090,29525,14861,4610
1462,10976,37649,37760,10367,1321,796,1112
579,1307,346,3227,17318,41183,40206,16823
761,2733,14911,57859,65535,48942,20967,5904
677,1813,5567,18541,36448,36245,18032,5640
995,1931,4040,12729,26063,26210,13194,4260
726,1300,442,626,1194,5162,16098,31794
1148,8154,27876,27739,7725,1669,561,1278
446,1202,703,413,779,1393,737,718
1016,1806,1259,4927,28818,65535,65535,28927
12916,47157,46566,12544,1466,1967,1024,622
492,1661,14302,54655,54911,15181,1439,1146
723,1225,696,700,702,7919,33377,34038
714,1470,808,553,1386,980,742,455
61202,61946,21813,3393,1207,661,667,1041
14414,53065,52624,14398,1856,1939,881,1488
15751,55723,55591,18742,25778,58817,58375,24226
805,570,290,177,1370,11499,44329,45707
11484,41159,39738,11156,1518,979,773,721
522,2821,16673,63836,64594,16860,1505,1696
939,780,711,3500,17621,46730,62304,61990
700,1641,774,390,733,493,395,1423
1132,7901,26869,26425,7643,2019,996,743
1175,2692,5983,19643,39852,39866,20575,5751
797,1933,322,410,454,1070,822,703
581,1989,5241,18646,36392,37365,18550,5756
13066,47129,46128,12831,1948,1645,1081,1273
1099,1335,488,3248,18612,47340,61676,54096
942,1981,4117,15419,30476,30241,15597,4961
48142,48643,18206,3075,1581,9396,38957,38773
946,1883,13954,52878,53101,14028,1635,1384
50284,50170,18897,3064,462,1268,767,1103
47215,47422,17861,2648,883,1462,701,906
816,906,671,466,1230,7731,28066,28537
836,952,540,535,971,9200,35247,34840
9932,35240,34964,9409,1196,1477,545,1427
1567,10273,37820,37466,10295,1851,878,653
531,945,598,547,860,5088,19504,38204
946,1001,777,3180,17843,43403,42163,17940
1413,7409,24833,24669,6833,1713,983,503
697,1546,1202,4473,26183,63867,62623,26049
247,729,834,742,1968,5019,22101,43203
549,1290,565,619,1293,7982,34071,34428
998,1238,634,639,1347,9026,36001,36589
831,1341,805,3847,20408,49130,48926,20554
614,1387,788,3716,20139,49092,48816,20150
775,1574,790,2836,16350,39619,39136,16702
49220,49434,18568,3152,1394,940,1042,1264
37098,38541,13901,2339,904,4692,18388,36695
1071,2035,3364,13373,26080,26929,13068,4357
764,7395,23556,23468,6630,1471,181,1259
885,2187,11815,45079,45721,12413,1064,1286
860,1901,939,256,388,3738,15659,31248
809,1304,399,560,432,1376,583,856
726,1062,478,5062,27617,65535,65535,28196
45163,45593,16979,2671,985,1528,1311,732
1340,8744,30334,30131,8483,1951,829,1048
1341,7032,24793,24619,6858,2114,819,1046
831,2078,16486,63501,64174,17278,2093,1069
1143,1175,971,4049,22221,53886,52593,22183
605,1093,383,652,1174,1464,491,1330
963,866,753,177,1553,5312,18691,37425
886,1340,628,269,908,5394,19389,37847
1056,7097,23597,23914,6862,1911,279,969
1144,1741,12038,45677,45791,12862,1598,1150
880,760,547,3014,16439,40480,40147,17390
56927,58070,21989,3570,754,1319,842,744
49923,65535,65535,16501,2016,1509,655,1138
1028,1041,664,483,1332,6172,22312,43875
41244,41978,15502,2508,742,1755,609,584
1191,804,416,4585,28197,65535,65535,27924
447,1330,161,645,532,1350,642,881
1229,8601,28672,28078,7695,1432,406,962
990,1741,3892,14132,28088,28090,14224,4670
813,1292,436,301,892,8716,34599,35439
47584,48858,18258,3085,906,1178,407,724
36766,37462,13779,2199,875,1492,656,1046
934,1476,4392,15128,30121,30293,15606,4347
38469,39334,19855,21664,39186,39037,19885,6302
885,1974,5604,18902,36312,37797,18610,5540
62796,64136,23589,3488,1196,1388,542,515
545,2041,12317,46394,46862,13261,1200,1741
15079,54829,53791,14886,2065,1506,842,825
12588,42840,42347,11904,1735,1324,874,618
567,1597,228,389,616,1577,628,440
54991,55926,20547,6821,23458,57141,55999,23980
1021,1358,367,231,1274,3452,13526,25948
15172,59946,65535,40011,8738,2334,730,1021
664,1377,9890,37959,37709,11080,1658,812
975,1697,3827,13167,24848,25399,13059,3528
809,1211,704,4282,22963,57281,56436,23510
632,577,837,864,861,7260,28262,29031
871,2147,4439,16168,31059,32231,16364,4967
474,1052,915,4667,25884,61689,61503,25958
824,7258,33616,65535,50168,13282,1174,683
604,1919,14006,52871,52498,14817,1521,1552
1164,1968,3539,12592,25558,25167,12988,3949
1345,1325,4618,17180,32844,33079,16870,5283
14398,50418,50240,14237,2072,1333,697,1346
1299,9906,34971,34355,9529,2831,421,481
11719,41431,41658,11641,1819,1706,599,1036
632,670,428,638,776,1516,600,1611
733,1498,12591,46299,46622,16137,17490,31700
535,947,869,316,1479,5204,20342,40567
45180,45055,16432,2682,986,1531,409,1551
62285,61563,23293,3633,1581,1860,920,1037
54370,54065,19961,3045,1000,1535,726,1454
1156,7027,24531,24496,7147,1873,662,660
605,2733,19884,65535,65535,51638,19519,5464
54207,55390,20710,3170,1050,1483,993,992
62627,63186,22988,3656,820,914,570,1757
62674,63675,23124,3687,1193,1163,1168,1425
751,1739,13587,50833,51502,14073,1551,969
1307,11837,38438,38481,10434,1115,818,1058
1101,1531,765,432,927,4833,18369,36344
15717,57388,56868,15916,1767,1876,808,569
692,2093,13904,51305,51854,14066,1444,1592
1264,9092,32672,45492,43654,36588,19291,6084
1073,1002,707,695,587,1792,665,1482
62170,62892,23235,3662,833,1673,763,819
819,1734,364,211,1606,8063,28987,28613
59974,60128,22719,3244,871,1380,502,615
752,924,254,510,1206,10616,43645,44547
1253,958,751,3217,16086,39784,39107,16463
13757,49085,48488,13249,2090,1308,906,1034
1111,1229,529,551,698,1354,754,1262
13469,48428,47324,13199,1725,1105,820,248
1505,8660,43186,65535,65535,17056,1954,1258
582,8607,30440,30552,8555,2260,743,322
15573,55893,55004,15056,2125,1385,766,871
1743,11350,41394,41528,10937,2490,514,1775
14355,51095,50639,13868,1969,1301,892,1121
1418,9808,34034,34092,9457,2306,597,1094
1151,1293,545,167,1313,1182,892,1028
13361,49693,58158,53903,42999,12534,1351,1460
886,1424,409,504,1271,7559,28157,28198
1083,1310,429,465,1076,1502,551,1050
917,1251,794,4190,22838,55867,55391,23608
868,1511,492,3247,17115,40791,40293,16720
896,1179,571,274,1933,11420,51309,65535
1460,8326,29815,41180,36957,30358,15570,4843
920,1018,901,3249,18585,45013,44454,18769
919,1563,4273,17178,45804,65535,59903,22542
42857,42867,15819,2272,1019,1039,495,851
1069,1832,3314,11230,22810,23430,11752,3507
53612,53433,19880,3100,500,1609,436,1080
15968,59990,59324,19066,17821,40009,39767,17156
426,1166,566,420,615,1862,676,544
53511,54808,20174,3501,844,1172,699,558
852,780,819,618,1345,5956,22674,45103
11797,42576,41577,11537,1909,4051,13704,26957
1400,2516,17128,65535,65535,17896,1869,762
766,1303,672,238,1024,4444,17190,34399
1797,10249,37375,36693,10290,1555,983,843
13226,48329,47303,13402,1933,1290,861,911
600,1857,5188,16572,32571,33401,16542,5056
805,665,544,4176,24334,59150,58478,24399
960,2273,17092,65535,65535,19066,1372,666
723,576,916,721,1471,10010,41952,43246
669,900,827,2970,16224,40412,39513,16489
854,1042,540,3110,16631,41058,39812,17337
1082,1271,610,728,1699,10111,42681,43115
584,1237,756,4758,27043,65535,65535,63766
930,1496,651,506,1279,7332,27395,27992
59256,59253,22015,3582,1028,818,849,760
14631,53521,52853,14924,2131,1775,814,522
48983,49816,18613,2972,1403,1659,527,254
613,1262,660,4963,26992,65535,65133,27252
667,919,1046,4338,25070,61422,61559,25779
1522,9218,32638,32791,8985,1703,498,679
1101,1068,373,121,1241,9705,36442,37058
60392,61290,22369,3437,740,1008,113,868
41046,41834,19342,18323,32248,32092,16701,5106
1241,9990,34550,34541,9627,8276,26511,26739
13255,47324,46088,12756,1382,1515,589,1212
863,2557,13521,51560,51087,14138,2294,1147
859,2396,12892,47685,48230,13401,1510,1164
12952,46342,45325,12474,1788,954,750,771
559,1149,636,4313,24132,63532,65535,65535
1346,7645,26367,26333,7778,1203,88,341
591,1200,453,294,439,5175,20953,40387
15674,56628,55766,15204,2049,1076,1021,653
1055,1382,289,663,909,7544,26343,26321
819,648,937,279,1210,7372,28796,29221
62599,63285,23325,3528,821,1759,757,1439
981,1123,978,4452,23098,55523,54609,22883
865,1512,161,606,1260,1589,828,1540
1480,8398,27752,27263,7913,1690,337,1139
772,1089,632,909,1611,1560,813,1072
1480,9252,35150,34852,9998,2192,702,274
438,1011,187,776,1086,1248,760,678
626,1429,595,476,991,5107,22550,44773
657,667,865,867,1153,4225,17772,35932
894,1177,804,351,1738,4042,13931,26211
1037,6863,22805,22865,7093,4531,13314,25733
854,1130,790,819,1164,3647,16767,33827
13376,48482,47700,13484,1743,1192,806,1562
890,2183,5556,18616,36812,38063,19327,6157
950,1173,3427,13528,25550,26858,13253,4147
1203,1837,5286,19765,38560,39139,20238,5599
14101,49810,48703,13538,1175,1686,1240,915
999,925,3906,14318,27643,27995,14897,4787
34590,34997,12919,2167,1080,1146,701,1082
43831,44041,16515,2719,1711,1102,211,947
977,2929,15541,58295,59106,15989,2234,766
12777,45473,45482,16381,26326,63042,62018,26591
1131,1873,13983,52384,52861,14405,1522,564
1333,8476,26341,26733,8047,1510,1006,1457
474,1656,441,798,922,1503,528,933
14412,50899,50362,13739,1899,1306,814,1416
514,2141,13124,47500,48749,13474,1417,1081
842,1317,442,631,1342,4152,14703,28770
12474,44866,44019,12091,1589,1387,492,702
13777,50982,50901,14244,2022,4098,13322,25289
1517,10010,37451,37676,10602,1382,329,523
13974,50007,49699,13595,2183,1333,1001,943
641,2351,17178,64930,64951,18055,1474,1353
1048,1007,834,5019,26992,65535,65535,27997
927,861,987,4803,28305,65535,65535,28561
726,1518,765,450,1258,5424,22058,44264
759,1247,589,3544,17456,43052,41950,17391
38634,38855,14363,2331,1207,1263,732,899
669,945,1027,700,1166,3553,13756,27055
656,1560,804,43,1471,5029,19743,38376
517,2080,9919,37425,38087,10794,1242,1049
813,2443,14415,54055,53807,14313,1759,1016
37702,37838,14353,2536,857,1605,1130,819
15123,54612,54572,14899,2004,1374,452,714
557,1376,502,512,1191,8691,33198,33258
36297,36653,13833,2262,865,742,1062,1572
947,1018,605,410,1403,6820,25307,24877
870,2128,12532,48330,48657,13328,1374,999
1413,10918,39801,39749,10497,1888,831,543
980,2710,16246,62575,62965,17003,1291,854
1568,2484,17138,65535,65535,18988,2034,737
1552,11280,40143,39929,11313,6141,20940,41804
608,2357,14259,53623,53686,14216,1498,555
1187,2039,490,555,915,1743,558,993
1083,1368,563,576,757,1156,627,1166
822,2056,5103,18622,35645,36487,18261,5765
684,1736,511,4203,22834,53978,53759,22741
15274,55480,54218,15026,2372,1217,1184,943
908,6814,23295,23004,6321,2400,618,656
57593,58780,25282,19540,32634,32656,16835,5470
41448,47905,39362,26524,7063,2145,419,992
687,927,983,4658,28194,65535,65535,27592
1791,7697,27060,26788,7873,1803,995,1251
868,1289,722,495,1245,4929,16247,30868
616,1019,901,3600,17549,42642,42069,18043
1005,1519,3816,13258,25177,25607,13032,4244
520,1931,466,169,845,1839,589,1163
1356,8804,32904,32145,9106,2408,671,568
851,1489,574,640,1054,9138,36763,37262
10321,37921,36524,10190,1743,1344,510,708
515,1428,3196,11589,22183,23428,12078,3998
785,1271,474,305,1381,8645,34147,34161
730,1815,740,3437,17907,43601,42901,17615
822,2116,4981,16978,34432,34546,17452,5495
55524,56294,20676,3405,866,1540,656,1323
749,662,392,486,1404,4967,20187,39617
47197,46792,17733,2784,1192,9832,39008,39083
502,1464,602,814,691,1151,928,658
13998,48951,48104,13226,1888,1351,684,1038
61963,61883,22827,3591,1228,2558,801,1202
737,1094,1007,678,1276,8817,36135,36101
1208,1827,14734,56405,55904,15673,1174,1430
533,918,796,526,1310,1318,100,933
14797,54509,54100,14967,1826,1925,610,754
649,1016,419,4197,23661,57428,57309,23864
13350,47927,47004,12944,2382,1915,533,1082
10481,36747,36699,10052,1396,1747,660,972
11635,41962,41119,11339,1399,1045,472,884
659,1214,710,687,1853,3981,15142,29199
1241,11014,39981,39891,10659,1876,750,952
1332,1397,646,581,1129,10036,43431,43508
15731,56415,55934,15228,2166,1109,634,752
1548,11386,38337,38604,10015,2285,609,765
796,1810,14705,56537,56600,15332,1207,671
641,1771,17145,63672,63933,17643,1305,896
550,1464,12748,50046,49817,13967,1474,968
1147,997,675,454,816,1452,499,1066
632,1267,827,4484,25428,61405,60756,25427
15309,53239,53543,15232,2259,1938,919,1170
910,2019,4657,16060,31339,32879,16876,4426
920,1144,1050,4746,25512,63422,61686,25176
1159,8917,34882,42249,30724,23979,11999,4137
646,831,781,662,1228,1403,997,1505
1086,2073,17428,65535,65535,17819,1734,794
1065,1451,776,3503,20557,49467,48362,20306
451,1536,465,702,387,1485,772,1279
15746,55414,55308,15004,1923,1289,764,1232
1070,564,585,461,1346,1350,1222,1365
910,1305,795,562,985,3726,13267,25725
791,1981,14917,54811,55919,21556,30715,30504
9321,34330,33321,9467,1584,1774,825,933
989,1119,782,922,748,971,630,487
1010,942,722,300,1344,5021,21939,43156
11832,43022,42735,11862,1450,1614,847,842
574,1145,1334,4983,28156,65535,65535,28847
12724,44230,44289,11999,1520,1349,0,727
744,868,453,530,824,1598,757,978
979,6845,23461,23273,6511,1727,763,513
35027,35893,13489,2161,458,1271,225,1070
729,1612,687,706,722,1620,272,689
880,1004,3751,13493,27017,27361,13784,4192
939,1514,916,411,897,9719,39726,39579
1056,1091,4782,16875,31577,32629,16520,5005
894,1141,731,96,1266,8154,32326,32741
15752,56313,56621,15228,2413,1376,586,1037
1321,9884,34584,34442,9240,866,919,1034
976,1119,819,3948,20973,50367,49605,21055
478,1326,903,2944,17054,41565,40792,17177
1211,2159,5596,20946,40332,41020,21137,5945
845,1872,5017,16972,33274,33338,17019,4823
545,816,528,504,864,1324,649,750
1283,10492,37814,37277,10771,1479,117,1389
10554,36878,36029,9953,1546,1304,642,1567
1282,1498,581,560,1163,8860,36669,36077
55308,56172,20764,3202,820,1600,792,1108
1307,11373,38868,38373,10670,1131,982,1114
981,894,876,3286,16796,40998,40468,17370
782,1419,379,331,1510,7129,28740,29324
802,781,506,382,914,5024,23201,45270
934,761,806,722,932,4070,18809,36264
41955,42300,15331,2200,1187,1261,737,1196
38959,38564,14758,2400,658,1849,318,890
12800,46315,45162,12410,2141,1229,869,1375
582,1715,4780,15787,31176,30775,15837,5223
1323,10161,34482,34763,9502,2320,915,746
1231,8728,29919,29548,8228,1826,730,856
532,1011,280,757,1103,7534,29090,29801
1050,1075,274,499,1025,1477,589,765
731,781,240,567,624,1401,483,1724
61947,63857,23089,3604,1147,9466,38478,37960
15569,58376,58294,15930,2196,2343,707,1460
796,782,753,657,1190,3743,14565,29064
972,1220,516,599,1115,1176,757,1074
37627,38415,13766,2520,980,1554,266,1253
813,1480,3314,11361,22661,23126,11729,3752
